0,349,20,350
20,350,45,550
45,550,80,620
#80,620,126,620
126,620,155,645
155,645,210,610
#210,610,270,610
270,610,277,586
277,586,298,554
298,554,342,605
#342,605,399,605
399,605,425,548
425,548,440,589
553,589,572,610
572,610,589,650
589,650,605,575
#605,575,649,575
649,575,678,607
#678,607,720,607
720,607,679,586
#679,586,820,586
820,586,854,760
#854,760,989,760
989,760,1002,620
#1002,620,1098,620
1098,620,1130,667
1130,667,1230,689
1230,689,1179,699
#1179,699,2010,699
2010,699,1199,652
1199,652,1210,603
1210,603,1268,559
